交付单号,客户名称,项目名称,联系人姓名,联系人电话,联系人邮箱,商务名,商务所在区域,apicode
45,中国建设银行,中国建设银行,郭宇,123123,yu.guo@100credit.com,郭宇3,华北,
44,中国建设银行,中国建设银行,郭宇,123123,yu.guo@100credit.com,郭宇3,华北,
43,中国建设银行,中国建设银行,郭宇,123123,yu.guo@100credit.com,郭宇3,华北,
42,中国建设银行,中国建设银行,郭宇,123123,yu.guo@100credit.com,郭宇3,华北,
36,中国建设银行,郭宇测试项目,郭宇,123123,12345678901@qq.com,郭宇3,华北,
41,我来贷有限公司,大众数据统计,郭宇,15032293019`,yu.guo@100credit.com,邱晶3,华北,
37,中国建设银行,郭宇测试项目,郭宇,123123,12345678901@qq.com,郭宇3,华北,
27,万星火有限公司,谁来贷,郭宇,12,yu.guo@100credit.com,邱晶3,华北,
22,1钱一心公司,一千亿新,王思,16715681356,123@123.com,邱晶3,华北,
20,我来贷有限公司,我来贷,利好,16715681356,123@123.com,邱晶3,华北,
